year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,prediction
2017,8000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,366193.5280804956
2016,80000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,200.0,5.0,1750,Honda,677934.6493329725
2019,15000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151.0,5.0,4850,Hyundai,1182487.4473211109
2011,70000,Petrol,Individual,Manual,First Owner,16.36,1495.0,93.7,124.6,5.0,3500,Hyundai,225329.6284779556
2012,116000,Petrol,Individual,Manual,First Owner,15.0,1598.0,103.5,153.0,5.0,3800,Skoda,217420.12121384125
2014,40000,Petrol,Individual,Manual,First Owner,19.0,998.0,66.1,90.0,5.0,3500,Maruti,305782.91883562366
2012,120000,Diesel,Individual,Manual,Third Owner,19.09,1396.0,69.0,135.0,5.0,2500,Tata,155316.75209136645
2017,41000,Diesel,Dealer,Manual,First Owner,20.5,1582.0,126.2,259.87,5.0,15003000,Hyundai,1162792.5604387275
2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,177.5,5.0,4700,Hyundai,1051408.7192949844
2015,80000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,5.0,2000,Maruti,475196.37456834514
2019,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,120.0,5.0,4250,Ford,910627.2119482949
2017,32331,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,690161.9040919096
2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494.0,100.6,200.0,7.0,12003600,Toyota,769224.5643271331
2014,26000,Petrol,Individual,Automatic,First Owner,19.34,1198.0,76.0,104.0,5.0,4400,Nissan,315468.7113721624
2017,60000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,247.0,6.0,18002000,Mahindra,725396.2023169294
2019,7500,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.8,113.0,5.0,4200,Maruti,884101.5560296336
2015,170000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200.0,7.0,14003400,Toyota,954652.484387869
2014,100000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,99.04,5.0,4500,Hyundai,288679.02278348274
2015,50000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200.0,8.0,12003600,Toyota,939124.5397789306
2015,126000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.73,219.66,5.0,15002750,Hyundai,551300.2774865483
2009,214000,Petrol,Individual,Manual,Second Owner,13.9,1599.0,103.2,14.9,5.0,3.000,Hyundai,-82209.11436317151
2014,110000,Diesel,Individual,Manual,Second Owner,26.0,1498.0,98.6,200.0,5.0,1750,Honda,439354.96835348534
2009,56000,Petrol,Dealer,Manual,Second Owner,,,,,,,Hyundai,111254.23197712889
2009,70000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,38177.11763783917
2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,114.0,5.0,3500,Tata,481503.9733506393
2018,5000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,651808.7143007633
2005,140000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,90.0,5.0,3500,Maruti,103265.96414616588
2003,120000,Diesel,Individual,Manual,Second Owner,10.5,2179.0,120.0,290.0,7.0,18002800,Mahindra,239217.75426292606
2017,55000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,5.0,4000,Maruti,561262.3648245775
2009,105000,Petrol,Individual,Automatic,Second Owner,12.9,1799.0,130.0,172.0,5.0,4300,Honda,234699.32131067477
2016,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200,Maruti,530356.2103498001
2012,120000,Diesel,Individual,Manual,Second Owner,19.0,1405.0,71.0,135.0,5.0,,Tata,147078.33445544075
2013,44500,Diesel,Individual,Manual,Second Owner,20.46,1461.0,83.8,200.0,5.0,1900,Renault,333808.47069564817
2017,32000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750,Maruti,819169.8028963296
2015,110000,Diesel,Individual,Manual,First Owner,21.64,1461.0,84.8,200.0,5.0,2000,Renault,498754.54257111374
2017,20000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320.0,7.0,15003000,Tata,1234490.8298906183
2018,17000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205.0,5.0,17503250,Ford,870303.5086740834
2016,49600,Diesel,Individual,Manual,Second Owner,25.32,1198.0,77.0,190.0,6.0,17502250,Mahindra,391292.0495739642
2016,13500,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,114.0,5.0,4000,Hyundai,507708.927562338
2016,46000,Diesel,Dealer,Automatic,First Owner,18.25,1968.0,187.74,400.0,5.0,17503000,Audi,2571188.3712197673
2011,90000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,160.0,5.0,2000,Ford,164048.38987282116
2014,139000,Diesel,Individual,Automatic,First Owner,11.79,2179.0,120.0,290.0,8.0,18002800,Mahindra,520186.6265588497
2017,77524,Diesel,Dealer,Manual,First Owner,22.7,1498.0,89.84,204.0,5.0,20002750,Ford,703809.8802897937
2013,37500,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.8,200.0,7.0,1750,Maruti,507277.54453944915
2015,40000,Petrol,Dealer,Manual,First Owner,18.9,1197.0,82.0,114.0,5.0,4000,Hyundai,486072.547384132
2013,120000,Diesel,Individual,Manual,First Owner,21.64,1461.0,84.8,200.0,5.0,2000,Renault,346531.9954906467
2018,22000,Diesel,Individual,Manual,First Owner,21.03,1461.0,65.0,160.0,5.0,2000,Mahindra,538124.8426025829
2010,70000,Petrol,Individual,Manual,Third Owner,14.7,1150.0,76.0,11.2,5.0,4.400,Chevrolet,49235.85067201115
2016,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,115.0,5.0,4000,Maruti,479010.1028160941
2014,78000,Diesel,Dealer,Manual,Second Owner,15.05,2179.0,147.9,320.0,7.0,15003000,Tata,865448.1171136869
2012,31000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90.0,5.0,3500,Maruti,195549.49598315172
2015,72000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,578317.2295173628
2017,90000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,101.0,5.0,3000,Maruti,565808.0046038764
2017,68000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,114.0,5.0,3500,Tata,308496.3253831017
2011,172000,Diesel,Individual,Manual,Second Owner,17.88,1396.0,52.8,85.0,5.0,2500,Tata,226393.5418711576
2017,36000,Diesel,Dealer,Manual,First Owner,13.68,2393.0,147.8,343.0,8.0,14002800,Toyota,1622091.8401806927
2015,91000,Diesel,Individual,Manual,Third Owner,24.4,1120.0,71.0,180.4,5.0,17502500,Hyundai,428886.23675357335
2017,65000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,90.0,5.0,3500,Maruti,460114.0498197644
2013,20000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,113251.75877973798
2011,28100,Petrol,Individual,Manual,First Owner,,,,,,,Toyota,554743.013901311
2017,7000,Petrol,Dealer,Automatic,Second Owner,14.53,1794.0,138.1,173.0,5.0,4000,Toyota,1399871.2586224577
2013,212000,Diesel,Individual,Manual,First Owner,21.64,1461.0,84.8,200.0,5.0,2000,Nissan,349654.11188907153
2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,81637.41632403713
1999,65000,Petrol,Individual,Manual,Fourth & Above Owner,15.9,1298.0,85.0,110.0,5.0,4500,Maruti,44762.28935779445
2016,80000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,114.0,5.0,4000,Hyundai,446576.94982385123
2012,50000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90.0,5.0,3500,Maruti,177540.0999387568
2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400.0,5.0,17502500,BMW,4444543.160349902
2018,30000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,200.0,5.0,1750,Honda,888152.614250912
2016,80000,Diesel,Individual,Automatic,First Owner,10.91,3198.0,197.0,470.0,7.0,17502500,Ford,1715749.7960377922
2015,60000,Petrol,Individual,Manual,First Owner,25.4,624.0,37.48,51.0,4.0,4000500,Tata,32231.42794311978
2018,60000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,115.0,6.0,35003600,Mahindra,491221.41851578304
2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,620.0,5.0,16002400,Mercedes-Benz,4205992.45512238
2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,114.0,5.0,3500,Tata,481503.9733506393
2016,30000,Diesel,Individual,Manual,First Owner,24.0,1120.0,70.0,160.0,5.0,15002750,Hyundai,514568.99676234095
2018,44000,Diesel,Individual,Automatic,First Owner,17.01,1582.0,126.2,259.9,5.0,19002750,Hyundai,1173062.8183895245
2011,105000,Diesel,Individual,Manual,Second Owner,21.9,1396.0,90.0,22.4,5.0,,Hyundai,219069.71758533944
2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,360.0,7.0,12003400,Toyota,1825515.7448750508
2007,73257,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,108310.94451587508
2009,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,6047.4746392266825
2017,50000,Diesel,Individual,Manual,First Owner,27.3,1498.0,98.6,200.0,5.0,1750,Honda,769136.1794338928
2017,40000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.7,110.0,5.0,4800,Honda,601294.0637645131
2016,65000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,322434.4212705232
2016,120000,Diesel,Individual,Manual,Third Owner,26.59,1248.0,74.0,190.0,5.0,2000,Maruti,519143.2919704291
2016,53000,Diesel,Dealer,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,730314.0112558916
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,96.0,5.0,,Tata,-34326.46182757837
2013,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7,5.0,4000,Hyundai,253168.64355941757
2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.05,90.0,5.0,3500,Maruti,195253.45074801787
2008,80000,LPG,Individual,Manual,Second Owner,17.3,1061.0,57.5,7.8,5.0,4.500,Maruti,129442.16334361653
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2011,80000,Diesel,Individual,Manual,Third Owner,11.57,2179.0,138.1,320.0,7.0,17002700,Tata,497753.1182350535
2018,20000,Petrol,Individual,Automatic,First Owner,23.0,999.0,67.0,91.0,5.0,4250,Datsun,381645.5053811439
2013,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,69995.80549213872
2017,40000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,8.0,2500,Maruti,419348.42374763044
2014,121000,Petrol,Dealer,Manual,First Owner,19.1,1197.0,82.0,114.0,5.0,4000,Hyundai,379192.6077316218
1998,110000,Petrol,Individual,Manual,Third Owner,13.1,1598.0,77.0,121.0,5.0,2800,Opel,52863.51887901779
2014,100000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,5.0,3500,Maruti,254261.71431213222
2013,100600,Diesel,Individual,Manual,Third Owner,20.46,1461.0,83.8,200.0,5.0,1900,Renault,331128.093108874
2011,90000,Diesel,Individual,Manual,Second Owner,13.55,2179.0,118.35,250.0,7.0,15003000,Tata,334024.78237760894
2013,70000,Diesel,Individual,Manual,Second Owner,21.9,1396.0,88.76,219.6,5.0,15002750,Hyundai,398473.5812495936
2011,100000,Petrol,Individual,Manual,Second Owner,15.37,1196.0,73.0,101.0,7.0,3000,Maruti,221311.29033904965
2017,30000,Petrol,Individual,Automatic,Second Owner,23.1,998.0,67.04,90.0,5.0,3500,Maruti,433170.865003925
2013,68000,Diesel,Individual,Manual,First Owner,22.1,1248.0,76.9,205.0,5.0,1750,Chevrolet,266769.46179808455
2010,83585,Diesel,Dealer,Manual,First Owner,21.43,1364.0,87.2,205.0,5.0,18002800,Toyota,664663.4408163674
2015,87847,Diesel,Dealer,Manual,First Owner,28.4,1248.0,74.0,190.0,5.0,2000,Maruti,512222.5865510147
2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,544775.0316699716
2019,22000,Petrol,Individual,Manual,First Owner,17.0,1197.0,110.0,200.0,5.0,20003500,Mahindra,1091567.9100883626
2011,93500,Diesel,Individual,Manual,Second Owner,18.6,1388.0,67.0,160.0,5.0,2000,Ford,175857.94228790712
2018,47000,Petrol,Dealer,Manual,Second Owner,16.02,1373.0,93.7,130.0,7.0,4000,Maruti,783810.4759414316
2017,50000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170.0,350.0,5.0,17502500,Jeep,1728543.0084199756
2018,25000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,626229.8331738166
2012,58400,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000,Maruti,321535.92586729885
2017,70000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,240.0,7.0,16002800,Mahindra,768987.9879741825
2017,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,689423.7037955154
2019,15000,Diesel,Individual,Manual,First Owner,25.1,1248.0,88.5,200.0,5.0,1750,Maruti,1055971.2568847693
2010,56000,Petrol,Individual,Manual,Third Owner,17.92,1086.0,62.1,96.1,5.0,3000,Hyundai,73791.17644322722
2007,63000,Petrol,Individual,Automatic,Third Owner,18.9,1061.0,67.0,84.0,5.0,3500,Maruti,58546.40834508056
2011,65000,Petrol,Individual,Automatic,Third Owner,12.6,1586.0,103.3,145.0,5.0,4100,Maruti,304274.63601710415
2016,50000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,240.0,7.0,16002800,Mahindra,750104.7803727784
2010,60000,Petrol,Individual,Manual,First Owner,15.26,1150.0,74.9,110.0,5.0,4400,Chevrolet,85582.85626190121
2015,160000,Diesel,Individual,Manual,Second Owner,13.5,2477.0,178.0,400.0,7.0,20002500,Mitsubishi,975208.7436853577
2018,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114.0,5.0,3500,Tata,462876.2059521815
2018,5500,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.6,145.0,5.0,4600,Honda,963873.3296781976
2015,39000,Petrol,Dealer,Manual,First Owner,17.4,1497.0,117.3,145.0,5.0,4600,Honda,738303.1460391701
2009,140000,Diesel,Individual,Manual,Second Owner,13.8,1399.0,68.0,160.0,5.0,2000,Ford,210093.50445635058
2001,70000,Petrol,Individual,Manual,Second Owner,,,,,,,Hyundai,37891.42445928475
2017,26000,Petrol,Individual,Automatic,First Owner,19.34,1198.0,76.0,104.0,5.0,4000,Nissan,509391.045358446
2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.7,2609.0,120.0,290.0,8.0,18002800,Mahindra,331197.2094112137
2007,260000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,20.4,7.0,14003400,Toyota,538455.1296006129
2012,60000,Petrol,Individual,Manual,Third Owner,,,,,,,Maruti,176685.8814042341
2012,125000,Diesel,Individual,Manual,Second Owner,21.43,1364.0,87.2,205.0,5.0,18002800,Toyota,587422.7512205113
2011,140000,Petrol,Individual,Automatic,Second Owner,14.4,1598.0,103.6,153.0,5.0,3800,Volkswagen,113244.01443388488
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350.0,5.0,15002750,Volvo,2780864.189704726
2015,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,425842.6176870926
2008,95200,Petrol,Individual,Manual,Third Owner,13.2,1495.0,94.0,12.5,5.0,3.500,Hyundai,92406.51448523707
2017,80000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,195.0,7.0,14002200,Mahindra,591870.3718289445
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350.0,5.0,15002750,Volvo,2780864.189704726
2011,119000,Diesel,Individual,Manual,Second Owner,16.52,1991.0,123.7,305.0,5.0,2000,Chevrolet,376447.43457977404
2016,110000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,437339.0687338177
2014,25000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,190589.22867753822
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153.0,5.0,3800,Skoda,698050.1286091481
2015,61000,Diesel,Dealer,Manual,Second Owner,22.71,1461.0,84.8,200.0,5.0,2000,Nissan,571657.2549922011
2012,70000,Diesel,Individual,Manual,Second Owner,23.2,1248.0,73.94,190.0,5.0,2000,Maruti,288574.27698723134
2014,25000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,280.0,9.0,18002800,Mahindra,749795.9527346361
2015,50000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,90.0,5.0,3500,Maruti,336304.66427230433
2003,36088,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,-8319.739513069857
2013,110000,Diesel,Individual,Manual,Second Owner,21.27,1396.0,88.76,219.6,5.0,15002750,Hyundai,375591.53524555283
2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,190.0,5.0,2000,Maruti,733276.8907067413
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350.0,5.0,15002750,Volvo,2780864.189704726
2015,135000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205.0,5.0,17503250,Ford,495625.76511785894
2017,113000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,215.0,5.0,17503000,Ford,630799.0104674508
2019,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400.0,5.0,17502500,BMW,4437400.063354107
2012,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7,5.0,4000,Hyundai,212210.49958845146
2013,120000,Diesel,Individual,Manual,Fourth & Above Owner,22.9,1248.0,74.0,190.0,5.0,2000,Maruti,319479.8403800789
2012,70000,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,150.0,5.0,1750,Chevrolet,48488.567938542576
2013,40000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,135059.8263933065
2015,60000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,320.0,7.0,17002700,Tata,860922.5297107046
2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199.0,88.76,110.0,5.0,4800,Honda,904965.7634162672
2014,90000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,140.0,5.0,18003000,Tata,217044.83640645072
2008,120000,Diesel,Individual,Manual,Third Owner,14.8,1998.0,68.0,12.5,5.0,3.000,Mitsubishi,352708.01442597935
2018,7000,Petrol,Individual,Manual,First Owner,22.5,999.0,67.0,91.0,5.0,4250,Datsun,362069.8652301717
2016,120000,Petrol,Individual,Manual,Second Owner,17.19,1197.0,81.86,114.73,5.0,4000,Hyundai,455536.76405990665
2016,120000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,360.0,7.0,12003400,Toyota,1423047.2867108406
2007,38000,Petrol,Individual,Manual,Second Owner,15.3,1193.0,65.3,102.0,5.0,2600,Tata,-172759.60754172364
2003,120000,Diesel,Individual,Manual,Third Owner,12.7,2609.0,116.6,28.3,8.0,1.7002.200,Mahindra,268586.32518177107
2013,18000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,330.0,7.0,16002800,Mahindra,990522.281454334
2018,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151.0,5.0,4850,Hyundai,979099.714137709
2017,28000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386,Renault,261031.20187962952
2016,40000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,5.0,2500,Maruti,376909.2226111037
2014,20000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,185172.9671480361
2018,30000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500,Maruti,387078.06251087505
2018,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000,Maruti,651821.7039404759
2014,38000,Diesel,Individual,Manual,First Owner,22.1,1248.0,74.0,190.0,5.0,1750,Chevrolet,312493.0903311502
2004,60000,Diesel,Individual,Manual,Third Owner,16.1,1405.0,70.0,13.5,5.0,2.500,Tata,-28494.415292781312
2013,40000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,98657.9871697094
2016,35000,Petrol,Individual,Manual,First Owner,17.0,1198.0,73.75,110.0,5.0,3750,Volkswagen,388459.1490945427
2010,90000,Diesel,Individual,Manual,First Owner,14.0,1948.0,90.0,190.0,9.0,20003000,Tata,176935.6549659851
2006,40000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,44150.85568587389
2015,60000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,587554.1882775663
2018,59000,Diesel,Individual,Manual,First Owner,24.2,1498.0,93.87,225.0,7.0,15002500,Maruti,890032.1956887301
2016,60000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386,Renault,247705.40058015846
2018,15000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,5.0,4200,Maruti,650568.0583067988
2016,110000,Diesel,Individual,Manual,Second Owner,18.2,1248.0,73.74,172.5,7.0,1750,Chevrolet,518063.37232256436
2010,55000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,90.0,5.0,3500,Maruti,160643.88608449185
2015,80000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,104.0,5.0,4000,Nissan,337882.9831450278
2010,120000,Diesel,Individual,Manual,Second Owner,11.8,1991.0,150.0,32.1,5.0,2000,Hyundai,291332.7408316714
2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.73,132.0,5.0,3000,Toyota,830176.994747663
2018,50000,Diesel,Individual,Manual,First Owner,23.5,909.0,45.0,98.0,8.0,16003000,Mahindra,461638.22273881774
2016,80000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,259.9,5.0,19002750,Hyundai,936796.3554266558
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,213.0,5.0,4500,Toyota,1446701.0537135203
2006,140000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,20.4,8.0,14003400,Toyota,612181.2173258101
2013,68697,Petrol,Individual,Manual,Third Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,141068.70002240513
2011,116500,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,22.4,5.0,,Hyundai,231500.4480156136
2012,40000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,114.0,5.0,4000,Maruti,299295.105560175
2015,160000,Diesel,Individual,Manual,Second Owner,13.5,2477.0,178.0,400.0,7.0,20002500,Mitsubishi,975208.7436853577
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,213.0,5.0,4500,Toyota,1446701.0537135203
2017,51000,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,113.0,5.0,4200,Maruti,651075.3028349662
2010,170000,Diesel,Individual,Manual,Second Owner,17.8,1399.0,68.0,16.3,5.0,2.000,Ford,232052.75892835192
2011,25000,Petrol,Individual,Manual,Second Owner,26.0,624.0,35.0,48.0,4.0,3000,Tata,-332210.6590036899
2018,28451,Petrol,Dealer,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,688022.9646094088
2017,60000,CNG,Individual,Manual,First Owner,21.94,1196.0,61.7,85.0,5.0,3000,Maruti,461158.3636014771
2014,60000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,200.0,7.0,12003600,Toyota,857930.1077955161
2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,138.0,5.0,4400,Maruti,816516.8429180613
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2017,32000,Diesel,Individual,Manual,First Owner,16.3,1956.0,170.0,350.0,5.0,17502500,Jeep,1816637.9924359322
2018,100000,Diesel,Dealer,Automatic,First Owner,12.9,2755.0,174.5,450.0,7.0,16002400,Toyota,1856480.2034296757
2018,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,698664.0469824245
2016,16151,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,145.0,5.0,4600,Honda,874796.1242905665
2007,74800,Petrol,Individual,Manual,Second Owner,18.2,998.0,67.1,90.0,5.0,3500,Maruti,55032.30063019367
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153.0,5.0,3800,Skoda,698050.1286091481
2018,65000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205.0,5.0,17503250,Ford,796001.699306614
2009,180000,Diesel,Individual,Manual,First Owner,13.6,1991.0,142.0,33.0,5.0,2.0002.680,Hyundai,44587.649784776964
2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.05,90.0,5.0,3500,Maruti,195253.45074801787
2017,58559,Diesel,Dealer,Manual,First Owner,25.2,1248.0,74.0,190.0,5.0,2000,Maruti,673554.0492403456
2016,53000,Diesel,Dealer,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,730314.0112558916
2008,120000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,320.0,7.0,17002700,Tata,320717.25717594987
2017,40000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500,Maruti,321287.31904542015
2017,40000,Diesel,Dealer,Manual,First Owner,18.49,1493.0,100.0,240.0,7.0,16002800,Mahindra,868166.1904229663
2012,96000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.8,200.0,7.0,1750,Maruti,420267.36815419834
2018,46000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.0,190.0,5.0,2000,Maruti,657685.5383087471
2017,28832,Diesel,Dealer,Manual,First Owner,23.4,1248.0,74.0,190.0,5.0,2000,Maruti,689678.0220271323
2018,70000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,195.0,7.0,14002200,Mahindra,660493.5107286318
2019,3100,Petrol,Individual,Automatic,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,923865.7113411571
2004,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,-41264.84793049283
